구군,읍면동,
중구,중앙동,3
중구,동광동,3
중구,대청동,3
중구,보수동,3
중구,부평동,3
중구,광복동,3
중구,남포동,4
중구,영주1동,3
중구,영주2동,3
서구,동대신1동,3
서구,동대신2동,4
서구,동대신3동,3
서구,서대신1동,3
서구,서대신3동,3
서구,서대신4동,2
서구,부민동,4
서구,아미동,4
서구,초장동,3
서구,충무동,3
서구,남부민1동,3
서구,남부민2동,3
서구,암남동,3
동구,초량1동,3
동구,초량2동,3
동구,초량3동,3
동구,초량6동,4
동구,수정1동,3
동구,수정2동,3
동구,수정4동,3
동구,수정5동,3
동구,범일1동,4
동구,범일2동,4
동구,범일5동,4
영도구,남항동,3
영도구,영선1동,3
영도구,영선2동,3
영도구,신선동,3
영도구,봉래1동,3
영도구,봉래2동,4
영도구,청학1동,3
영도구,청학2동,3
영도구,동삼1동,3
영도구,동삼2동,4
영도구,동삼3동,3
부산진구,부전1동,2
부산진구,부전2동,2
부산진구,연지동,2
부산진구,초읍동,3
부산진구,양정1동,2
부산진구,양정2동,2
부산진구,전포1동,3
부산진구,전포2동,2
부산진구,부암1동,2
부산진구,부암3동,4
부산진구,당감1동,3
부산진구,당감2동,2
부산진구,당감4동,3
부산진구,가야1동,4
부산진구,가야2동,4
부산진구,개금1동,2
부산진구,개금2동,2
부산진구,개금3동,2
부산진구,범천1동,3
부산진구,범천2동,3
동래구,수민동,2
동래구,복산동,4
동래구,명륜동,3
동래구,온천1동,3
동래구,온천2동,2
동래구,온천3동,2
동래구,사직1동,3
동래구,사직2동,3
동래구,사직3동,2
동래구,안락1동,3
동래구,안락2동,3
동래구,명장1동,3
동래구,명장2동,4
남구,대연1동,3
남구,대연3동,3
남구,대연4동,3
남구,대연5동,3
남구,대연6동,2
남구,용호1동,2
남구,용호2동,2
남구,용호3동,3
남구,용호4동,4
남구,용당동,2
남구,감만1동,4
남구,감만2동,4
남구,우암동,3
남구,문현1동,3
남구,문현2동,3
남구,문현3동,2
남구,문현4동,3
북구,구포1동,3
북구,구포2동,3
북구,구포3동,3
북구,금곡동,3
북구,화명1동,3
북구,화명2동,4
북구,화명3동,2
북구,덕천1동,3
북구,덕천2동,3
북구,덕천3동,3
북구,만덕1동,2
북구,만덕2동,3
북구,만덕3동,4
해운대구,우1동,3
해운대구,우2동,2
해운대구,중1동,2
해운대구,중2동,3
해운대구,좌1동,3
해운대구,좌2동,3
해운대구,좌3동,3
해운대구,좌4동,2
해운대구,송정동,3
해운대구,반여1동,2
해운대구,반여2동,4
해운대구,반여3동,3
해운대구,반여4동,3
해운대구,반송1동,4
해운대구,반송2동,3
해운대구,재송1동,2
해운대구,재송2동,3
사하구,괴정1동,3
사하구,괴정2동,4
사하구,괴정3동,3
사하구,괴정4동,4
사하구,당리동,3
사하구,하단1동,2
사하구,하단2동,3
사하구,신평1동,3
사하구,신평2동,3
사하구,장림1동,3
사하구,장림2동,3
사하구,다대1동,3
사하구,다대2동,3
사하구,구평동,2
사하구,감천1동,3
사하구,감천2동,5
금정구,서1동,4
금정구,서2동,3
금정구,서3동,4
금정구,부곡1동,3
금정구,부곡2동,2
금정구,부곡3동,2
금정구,부곡4동,3
금정구,장전1동,3
금정구,장전2동,3
금정구,선두구동,3
금정구,청룡노포동,3
금정구,남산동,2
금정구,구서1동,2
금정구,구서2동,3
금정구,금성동,4
강서구,대저1동,3
강서구,대저2동,3
강서구,강동동,3
강서구,가락동,3
강서구,녹산동,2
강서구,가덕도동,3
연제구,거제1동,2
연제구,거제2동,3
연제구,거제3동,3
연제구,거제4동,4
연제구,연산1동,3
연제구,연산2동,2
연제구,연산3동,4
연제구,연산4동,3
연제구,연산5동,2
연제구,연산6동,3
연제구,연산8동,4
연제구,연산9동,3
수영구,남천1동,3
수영구,남천2동,4
수영구,수영동,3
수영구,망미1동,3
수영구,망미2동,3
수영구,광안1동,3
수영구,광안2동,2
수영구,광안3동,3
수영구,광안4동,3
수영구,민락동,3
사상구,삼락동,4
사상구,모라1동,2
사상구,모라3동,3
사상구,덕포1동,3
사상구,덕포2동,3
사상구,괘법동,4
사상구,감전동,2
사상구,주례1동,2
사상구,주례2동,3
사상구,주례3동,4
사상구,학장동,2
사상구,엄궁동,2
기장군,기장읍,3
기장군,장안읍,3
기장군,일광면,3
기장군,철마면,3
